controlno,Title,Author,Callno,Accession,Copyright,Quantity
100107082847,'File structurs using pascal',"Miller, Nancy E.",005.7406 M649,31670,1987,1
100107091300,'Inside the Norton antivirus',"Norton, Peter",005.84 N886,31659,1992,1
100107091602,'Expert systems',"Giarratano, Joseph",006.33 G435 05E,"35480, 35479",2005,2
100107102437,'Effective guide to libraries and reference sources',"Natividad, Evelyn A.",025 N278,"31063, 32055, 32398",1987,3
100107102621,"'The analysis, design, and implementation of information systems'","Lucas, Henry C.",025.04 L933,789,1992,1
100107102951,'Managing libraries and information centers in the Philippine setting',"Claravall, Nora J.",025.1 C591,34470,2005,1
100107103241,'Collection management for libraries and information centers',"Buenrostro, Juan C.",025.21 B928,1410,1996,1
100107103401,'Pagkakatalog at klasipilasyon ng mga babasahin',"Faderon, Rosalie B.",025.3 F144,34469,1998,1
100107104333,'Library services and level of satisfaction of the high school students of General de Jesus College',"Estrella, Rosalie P.",UT 025.6 E82,35090,2006,1
100107143736,'The management of special libraries and information centers',"Buenrostro, Juan C.",026 B928,32680,1995,1
100107143956,'Philippine school libraries',"Sanchez, Concordia",027.8 S211,"5612, 261",1971,2
100107144341,'Selective reading book number 4',"Smith, Barry M.",028 S643,"777, 778, 779, 780, 781",1974,5
100107144702,'How to become a better reader',"Witty, Paul",028 W832 HB,31531,1962,1
100107145211,'How to improve your reading',"Witty, Paul",028 W832 HI,31533,1963,1
100107145322,'Dinosaurs in the attic',"Preston, Douglas J.",069.9508 P937,31932,1928,1
100107153416,'Working with words',"Brooks, Brian S.",070.4 B873,31924,1989,1
100107153812,'Campus journalism and school paper advising',"Cruz, Ceciliano Jose",070.4 C957,"34497, 1149",1997,2
100107154032,"'Pamahayagang pangkampus sa bagong milenyo para sa mag-aaral, guto at tagapayo'","Cruz, Ceciliano - Jose",070.4 C957,"34969, 34968, 34967",2003,3
100107154211,'Sanayang aklat sa pagwawasto ng sipi at pag-uulo ng mga balita',"Cruz, Ceciliano - Jose",070.4 C957,34389,2003,1
100107154409,'Journalism for Filipinos',"Malinao, Alito L.",070.4 M251 RE,1148,1997,1
100107154638,'Journalism for Filipinos',"Malinao, Alito L.",070.4 M251,"33699, 33666, 33665",2004,3
100107155329,'Sandigan ng pamahayagang pangkampus',"Mosura, Carmel T.",070.4 M916,33851,2002,1
100107155459,'Philippine journalism handbook',"Ramirez, Jaime B.",070.4 F173,816,1989,1
100107160341,'Copy reading and news editing',"Taylor, Howard B.",070.4 T242,8040,1951,1
100107160657,'A primer on news organization and techniques (with exercises)',"Soriano, Robert F.",070.5722 S714,815,1999,1
100107160937,'Mind and you',"Varias, Rodolfo R.",080 V299,20656,1968,1
102009104824,'Office productivity tools',Jemma Development Group,005.269 J49 08E,36126,2008,1
102009105103,'Microsoft office 2007 for windows',"Schwartz, Steve",005.269 S399 07E,36133,2007,1
102009105948,'Database systems',"Rob, Peter",005.74 R628,36181,2007,1
110910104932,'Library services and level of satisfaction of the high school students of General de Jesus College S.Y. 2006-2007',"Estrella, Rosalie P.",UT 025.58 E82,36780,2006,1
110910105040,'Library effectiveness of library services and assistance to the college students of General de Jesus College S.Y. 2007-2008',"Gonzales, Jessie",UT 025.5 G643,36783,2007,1
111512151707,'Basic office applications',"Abante, Marmelo M.",005.269 A117 10E,37992,2010,1
111910161559,'Introduction to Turbo Pascal programming',"Pepito, Copernicus P.",005.133 P422,"36928, 36929",2007,2
112014105634,'Introduction to the humanities',Custodiosa A. Sanchez,001.3 S 211 12 E,1.3,2012,1
112114141030,'Dictionary of computer science and internet',"Wharton, Robert",Ref 004.01 W554,38913,n.d,1
112114142600,'Dictionary of quotations',"Tripathy, Debi Prasad",Ref 080 T835 11E,38914,2011,1
112114142900,'Lakbay-sining : readings on cultural Development in the Philippines',"Bernardo, Carmencita J.",F 001.3 B523,38847,2007,1
51915141657,'System quality assurance',"Niguidula, Jasmin D",004.25 N689 12E,"38962, 38961",2012,2
51915141942,'Fundamentals of programming : C / C++ Language',"Reyes, Marvin",005.133 R457 12E,"38957, 38958",2012,2
51915142218,'Introduction to MySQL',"Hernandez, Alexander A.",005.74 H557 10E,"38959, 38960",2010,2
52015081621,'Database administration In MySQL',"Hernandez, Alexander A.",005.74 H557 12E,"38968, 38967",2012,2
52015081806,"'Worktext in database management system
(complete with hands - on exercises)'","San Luis, Rosemarie R.",005.74 S196 13E,"38955, 38956",c2011,2
70210113438,'Programming logic formulation',"Farrell, Joyce",006.3363 F245 09E,36372,2009,1
70210115353,'Bulletproof Ajax',"Keith, Jeremy",005.13 K28 07E,36383,2007,1
70210115840,'Concepts of database management',"Pratt, Philip J.",005.74 P916 08E,36391,2008,1
70710094928,'Fundamentals of research and research designing',"Garcia, Carlito D.",001.4 G216 03E,"36720, 36721",2003,2
70710162252,"'Movie making, animation and multimedia with MS movie maker and adobe flash'","Marcelo, Antoinette R.",006.7 M314 08E,36663,2008,1
70710162953,'Database system concepts',"Silberschatz, Abraham",005.74 S582 02E,"36718, 36719",2002,2
70710163235,'Programming Phyton',"Lutz, Mark",005.133 L975,"36740, 36739",1996,2
70710163416,'Software engineering',"Van Vliet, Hans",005.1 V284 00E,"36737, 36738",2000,2
