controlno,Title,Author,Callno,Accession,Copyright,Quantity
10103010850,'The business taxes in the Nationa Internal Revenue Code simplified',"Reyes, Virgilio D.",336.207 R456 09E,"36007, 36006",2009,2
10103011504,'The new quizzer in taxtion for CPA examination reviewees',"Reyes, Virgilio D.",336.2 R456 09E,"36047, 36046",2009,2
10103011738,'Transfer and business taxes',"Ampongan, Omar Erasmo G.",336.2 A526 09E,"36068, 36066, 36067",2009,3
10103045022,'Philippine education in the third millennium',"Colinares, Nilo E.",370.1 C696,33734,2005,1
10103045245,'Selected readings',"Custodio, Loudes J.",370.1 C987,33440,2003,1
10103045525,'The emergence of schools of the people',"Doronilla, Maria Luisa C.",370.1 D715,"1412, 33733, 823, 824",2000,4
10103045926,'Philosophy of education',"Duka, Cecilio D.",370.1 D877,"35026, 35025, 35024",2006,3
10103063629,'Learning to be',"Faure, Edgar",370.1 F265,18031,1972,1
101607075800,'The shaping of western society',"Fenton, Edwin",300 F342,31570,1974,1
101607132655,'Social science',"Hunt, Elgin F.",300.1 H939,31857,1990,1
101607140907,'Contemporary society',"Perry, John A.",300.1 P463,31923,1991,1
101607141126,'Social science for Filipinos',"Salgado, Pedro V.",300.1 S164,31458,1988,1
101607141407,'Sociology with introduction to anthropology in a global perspective',"Abelos, Alex V.",301 A141,34723,2006,1
101607141545,'Sociology',"Allyn, Charles",301 A443,8144,1972,1
101607142211,'Anthropology 91/92',"Angeloni, Elvio",301 A584,31823,1991,1
101607142423,"'Man, economy and society'","Araneta, Francisco",301 A662,33344,1970,1
101607142553,'Invitation to sociology',"Berger, Peter L.",301 B496,33805,1971,1
101607142702,'Introduction to sociology',"Biesanz, Mavis Hiltunen",301 B589,8098,1973,1
101607142851,'General sociology',"Colon, Salvacion",301 C719,33576,2004,1
101607143334,'Introductory sociology',"Curran, Joseph Jr.",301 C976,"18488, 18490, 18491, 18489",1977,4
101607143934,'Sociology',"Dennis, Martin L.",301 D411,33915,2005,1
101607144412,'Anthropology',"Ember, Carol R.",301 E53,"32284, 32285",1992,2
101607152312,'Sociology and social living',"Espiritu, Socorro C.",301 E77,"19933, 19932",1982,2
101607152738,'Sociology in the new Philippine setting',"Espiritu, Socorro C.",301 E77 PS,"18093, 10541, 18094",1976,3
101607152923,'Sociology and social living',"Espiritu, Socorro C.",301 E77 S,19036,[19 - ?],1
101607153134,'College sociology',"Estoque, Ronan S.",301 E81,"35192, 35193, 35194",2006,3
101607153322,'Mapping the social and landscape',"Ferguson, Susan J.",301 F353,34289,2002,1
