controlno,Title,Author,Callno,Accession,Copyright,Quantity
31708145449,'College Algebra for health science students and allied medical sources',"Rafael, Johann C.",512 R136,34640,2005,1
31708145741,'College Algebra',"Rees, Paul K.",512 R328,"34561, 34270",2003,2
31708145938,'College Algebra',"Reyes, Fe N.",512 R457,32314,1982,1
31708150450,'Advance Algebra',"Usiskin, Zalman P.",512 U85,"12710, 12706, 12707",1976,3
31708150725,'Modern college Algebra',"Vance, Elbridge P.",512 V222 3E,"330, 32687",1975,2
31708150855,'College Algebra and the basic use of calculator',"Victoriano, Praxedes Solina",512 V645,560,1996,1
31708151040,'Module in college Algebra (Math 1)',"Vizco, Sofia B.",512 V864,33698,2003,1
31708151201,'Intermediate Algebra',"Weltman, Dennis",512 W464,"30312, 30313",1987,2
31708151340,'Principles of modern Algebra',"Whitesitt, J. Eldon",512 W594,5734,1965,1
31708151440,'Development Mathematics',"Wood, Martha M.",512 W877,18794,1979,1
31708151607,'College Algebra',"Young, Felina C.",512 Y71,"35023, 34949, 34950",2006,3
31708161850,'Elements of abstract Algebra',"Moore, John T.",512.02 M822,31952,1962,1
31708164454,'The functions of Algebra and Trigonometry',"Bogart, Kenneth P.",512.13 B674,"7958, 7960, 10793, 7957",1977,4
31808161759,'Algebra 2 and Trigonometry',"Dolciani, Mary P.",512.13 D662,12711,1971,1
31808162455,'Modern school Mathematics',"Dolciani, Mary P.",512.13 D662 2,12712,1971,1
31808163130,'Algebra and Trigonometry with Analytic Geometry',"Fleming, Walter",512.13 F598 3E,"31929, 32009",1989,2
31808163950,'College Algebra and Trigonometry',"Gustafson, R. David",512.13 G982,"30322, 30321, 30323, 30325",1986,4
32408075225,'Algebra and trigonometry with analytic geometry',"Swokowski, Earl W.",512.13 S979,34988,2002,1
32408081022,'Introduction to linear Algebra',"Hohn, Franz E.",512.5 H719,7718,1972,1
32408081143,'Elementary linear Algebra',"Kolman, Bernard",512.5 K81,32671,1991,1
32408081557,'Elementary linear Algebra',"Perry, William L.",512.5 P465,31530,1988,1
32408081814,'Quantitative techniques for business',"Sirug, Winston S.",512.5 S621,"35198, 35200, 35199",2006,3
32408082422,'Elementary number theory',"Dudley, Underwood",512.7 D849,7714,1969,1
32408082551,'Essential arithmetic',"Johnston, C. L.",513 J72,12713,1977,1
32408082840,'The number systems of elementary Mathematics',"Moise, Edwin E.",513.5 M714,7866,1966,1
32408083353,'Number systems and their uses',"Wolf, Frank L.",513.5 W853,8115,1971,1
32408090408,'Shaping globalization',"Perlas, Nicanor",514.74 P451,33068,2000,1
32408092617,'Calculus for business and economics',"Byrkit, Donald R.",515 B959,20098,1981,1
32408093058,'Elementary applied calculus',"Coughlin, Raymond",515 C854,7679,1974,1
32408093451,'Calculus',"Crowdis, David G.",515 C953,18559,1976,1
32408093609,'Intecal manual',De La Salle Textbook Development Committee,515 D339,"19064, 19063",1975,2
32408101808,'Elementary functions',"Fobes, Melcher P.",515 F651,7675,1973,1
32408102127,'Calculus with finite Mathematics for social sciences',"Gray, Mary W.",515 G781,"20275, 20077",1972,2
32408102238,'A primer for calculus',"Holder, Leonard I.",515 H727,30080,1987,1
32408102339,'Essential calculus',"Silverman, Richard A.",515 S587,"19082, 19077, 19078, 19080, 19083, 19079",1977,6
32408102643,'Calculus early transcendentals',"Stewart, James",515 S849 5E,33435,2003,1
32408102831,'Calculus and analytic geometry',"Thomas, George B.",515 T456 7E,32161,1988,1
