controlno,Title,Author,Callno,Accession,Copyright
62408091646,The autobiography of Benvenuto Cellini,"Cellini, Benvenuto",927 C393,5,[19 - ?]
52708140306,The aesthetics of literature,"Casuga, Albert B.",801.93 C355,10383,[19 - ?]
62408132352,The wonder that was India,"Basham, A. L.",954 B299,30447,[19 - ?]
62408104404,50 million French people,"Taillandier, J. P.",944 T131,31463,[19 - ?]
111210141103,Joyride,"Guillermo, Lucky",959.9 G958,36920,[20_ ]
62408081353,The wisdom of Confucius,"Wilson, Epiphanius",920 W747,19973,1900
62408142127,Life in modern America,"Kelty, Mary G.",973 K29,1174,1946
62308143532,A study of history,"Toynbee, Arnold J.",901 T756,32202,1948
62308143532,A study of history,"Toynbee, Arnold J.",901 T756,32203,1948
62308143532,A study of history,"Toynbee, Arnold J.",901 T756,32201,1948
62408112001,Hellas,"Robinson, C. E.",949.5 R658,2670,1948
62308143532,A study of history,"Toynbee, Arnold J.",901 T756,32204,1948
62408084857,The life of Mahatma Gandhi,"Fischer, Louis",923.2 F529,10525,1950
62408102900,The hinge of fate,"Churchill, Winston S.",940.53 C563 HF,32210,1950
62408102623,The grand alliance,"Churchill, Winston S.",940.53 C563 GA,32207,1950
62408102217,Closing the ring,"Churchill, Winston S.",940.53 C563 CR,32211,1951
62408144956,History of the United States,"West, Ruth",973 W519,30449,1952
62408144956,History of the United States,"West, Ruth",973 W519,1849,1952
62408103015,Triumph and tragedy,"Churchill, Winston S.",940.53 C563 TT,32209,1953
62408085513,The invisible writing an autobiography,"Koestler, Arthur",923.6 K78,127,1956
62408133336,A pictorial history of the American Indian,"La Farge, Oliver",970.1 L159,31294,1957
62308144306,World history,"Corbett, James A.",909 C789,5759,1958
62308141834,Understanding history,"Gottschalk, Louis",901 G687,31937,1959
62408091508,Portrait of Max,"Behrman, S. N.",927 B421,30424,1960
52708141815,Pennies from hell,"Alexander, David",808 A376,1405,1960
62408111719,The land of the Russian people,"Nazaroff, Alexander",947 N335,31386,1960
62408111302,The land of Italy,"More, Jasper",945 M835,537,1961
62408090107,Ishi in two worlds,"Kroeber, Theodora",923.7 K93,340,1961
62308150128,The course of civilization,"Strayer, Joseph R.",909 S913,32554,1961
62408090657,Trail blazers of American history,"Mason, Meriam E.",923.9 M412,31372,1961
62408150109,American government,"Odegard, Peter H.",973.31 O23,18024,1962
62408085201,"Problem in European civilization Metternich, the ""coachman of Europe"" staeman or evil genius?","Schwartz, Henry F.",923.2 S411 De,7683,1962
62408082943,A street lamp and the stars the autobiography,Don Borrelli,922.1 D674,345,1963
62408081624,Citizen Hearst,"Swanberg, W. A.",920.02 S972,20001,1963
62408101014,Population movements in modern European history,"Moller, Herbert",940 M726,7676,1964
62408134502,"""We hold these truths...",Cambridge Book Company,973 C178,295,1964
62408101402,An age of controversy,"Wright, Gordon",940 W948,32620,1964
62408101014,Population movements in modern European history,"Moller, Herbert",940 M726,7686,1964
62308151755,"Latin America, Canada, Africa, Australia","Fonseca, Jaime",910 F676,20073,1964
62408081025,Intern,Doctor X,920 D637,33944,1965
62408104254,A history of modern France 1715-1799,"Cobban, Alfred",944 C653,31990,1965
62408083139,Salt of the earth,"Fenton, John H.",922.2 F342,336,1965
62408132207,Memoirs of an Arab - Syrian gentleman or an Arab knight in the crusader memoirs of Usamah Ibn - Munqidh translated from the unique manuscript,"Kitti, Philip K.",953 H67,32948,1965
62408092003,James Boswell the earlier years 1740-1769,"Pottle, Frederick A.",928 P871,30353,1966
62408084503,Lincoln,"Wheare, K. C.",923.1 W556,10535,1966
62408080626,An atlas of Latin American Affairs,"Schneider, Ronald M.",912 K55,32575,1966
62308150520,The partition of India,"Wallbank, T. Walter",909 W196,8105,1966
62408082846,All for her,"Peyton, Patrick",922 P519,335,1967
62408135845,Viewpoints,"Feder, Bernard",973 F293,32519,1967
62408154523,Hawaii,"Judd IV, Gerrit P.",996.9 J92,10533,1967
62408080142,Geography,"Webb, Kempton E.",910 W366,591,1967
62408135845,Viewpoints,"Feder, Bernard",973 F293,32518,1967
62308150650,Adventures of ideals,"Whitehead, Alfred North",909 W592,5702,1967
62408112516,A short history of far east,"Latourette, Kenneth Scott",950 L359,31437,1967
62408085355,Julius Caesar,"David, Peter",923.5 D249,10537,1968
62408145132,From Africa to the United States and then...,"Goode, Kenneth G.",973.049 G647,30442,1969
62408103504,The people''''s war,"Calder, Angus",941 C146,138,1969
62308143829,Western civilization its genesis and destiny,"Cantor, Norman F.",909 C232 III,19273,1970
62308150756,The middle ages,"Tierney, Brian",909.07 T564,8129,1970
62308143711,New movements in the study and teaching of history,"Ballard, Martin",902 B189,33825,1970
62308143829,Western civilization its genesis and destiny,"Cantor, Norman F.",909 C232 III,19055,1970
62408101643,Social thought in America and Europe,"Kennedy, David",940.25 K35,8158,1970
62408080452,100 topographic maps,"De Bruin, Richard",912 D288,31545,1970
62408131507,The age of revolution and reaction 1789-1850,"Breunig, Charles",951.036 B846,8043,1970
62408132623,Fifty fighting years,"Lerumo, A.",968.048 L621,33343,1971
62408131837,Tokyo,"Briggs, Don",951.9 B854,30931,1971
62408131945,Korea the third republic,"Chung, Kyung Cho",951.9 C559,18671,1971
62308144702,A short history of western civilization,"Harrison, John B.",909 H319,8166,1971
62408112104,Asian quartet,"Cohen, Barry",950 C678,30456,1971
62308151634,Men of conscience,"Inglis, Brian",909.81 I52,10490,1971
62308151634,Men of conscience,"Inglis, Brian",909.81 I52,10771,1971
62308151634,Men of conscience,"Inglis, Brian",909.81 I52,10770,1971
62308152236,The rise of the city,"MacGraw, Frank M.",910 M147,18747,1971
62308152236,The rise of the city,"MacGraw, Frank M.",910 M147,18748,1971
62408092358,Ancient history,"Cheilik, Michael",930 C515,4703,1971
62308150025,The world since 1500,"Stavrianos, L. S.",909 S798,18752,1971
62408140026,Viewpoints,"Feder, Bernard",973 F293,32589,1972
62408112740,Southeast Asia''s economy development policies in the 1970''s,"Myint, H.",950 M996,32985,1972
62408085653,Of men and plants,"Messegue, Maurice",923.6 M584,10492,1973
62408154249,A history of Latin America,"Pendle, George",980 P398,130,1973
62408144032,Programmed learning aid for United States history to 1877,"Shenton, James P.",973 S546,7710,1973
62408134710,The restless centuries,"Carroll, Peter N.",973 C319,7674,1973
62408103127,Modern Europe to 1815,"Gay, Peter",940.55 G285,31972,1973
62408085653,Of men and plants,"Messegue, Maurice",923.6 M584,30426,1973
62408091034,Barefoot in the sky an autobiography,"Scott, Sheila",923.9 S429,10494,1973
62408144032,Programmed learning aid for United States history to 1877,"Shenton, James P.",973 S546,7884,1973
62408144032,Programmed learning aid for United States history to 1877,"Shenton, James P.",973 S546,7846,1973
62308150233,Books in world history,"Wagar, W. Warren",909 W129,18624,1973
62408144032,Programmed learning aid for United States history to 1877,"Shenton, James P.",973 S546,7845,1973
62408144032,Programmed learning aid for United States history to 1877,"Shenton, James P.",973 S546,7709,1973
62408134710,The restless centuries,"Carroll, Peter N.",973 C319,1071,1973
62408084308,Louis and Antoinette,"Cronin, Vincent",923.1 C947,33951,1974
62308152054,One world divided,"James, Preston E.",910 J28,18755,1974
62308152054,One world divided,"James, Preston E.",910 J28,18791,1974
62308145817,Burn''s and Ralph world civilization,"Ralph, Philip Lee",909 R163 II,7915,1974
62308145817,Burn''s and Ralph world civilization,"Ralph, Philip Lee",909 R163 II,7914,1974
62308145817,Burn''s and Ralph world civilization,"Ralph, Philip Lee",909 R163 II,7916,1974
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10284,1975
62408134057,Trinidad * Tobago,"Marshall, Anthony D.",972.983 M367,31397,1975
62408133848,The secret power of pyramids,"Schul, Bill",972.018 S386,33282,1975
62408133520,The Indian in America,"Washburn, Wilcomb E.",970.1 W315,18945,1975
62408133520,The Indian in America,"Washburn, Wilcomb E.",970.1 W315,18934,1975
62408102019,The Lusitania disaster,"Bailey, Thomas A.",940.4514 B156,19263,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10288,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10287,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10282,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10285,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10283,1975
62408092136,W. H. Auden,"Spender, Stephen",928.1 S746,10499,1975
62408101152,Transformation of a continent,"Weinberg, Gerhard L.",940 W423,10286,1975
62408134917,Readings in American history,"Cotner, Robert C.",973 C844 I4E,7982,1976
62408153007,The American experience,"Hoyt, James",973.32 H869,32981,1976
62408102747,The gathering storm,"Churchill, Winston S.",940.53 C563 GS,32208,1976
62408102747,The gathering storm,"Churchill, Winston S.",940.53 C563 GS,19968,1976
62408134917,Readings in American history,"Cotner, Robert C.",973 C844 I4E,7981,1976
62408102448,Their finest hour,"Churchill, Winston S.",940.53 C563 FH,5781,1976
62308151413,Islamic history,"Shaban, M. A.",909.097671 S524,31968,1976
62408142446,Images of American society,"Lillibridge, G. D.",973 L729 I,30445,1976
62408080339,The earth in profile,"Greenland, David",910.02 G814,18972,1977
62408144617,Rise of the American nation,"Todd, Lewis Paul",973 T634,31341,1977
62308145656,Echoes of time,"Ostrowski, Richard",909 O85,18314,1977
62408131703,Comrade Chiang Ching,"Witke, Roxane",951.05 W825,33816,1977
62408132509,Issues in contemporary Malaysia,"Rao, Chandriah Appa",959.5 R215,30691,1977
62308145656,Echoes of time,"Ostrowski, Richard",909 O85,18315,1977
62408154003,The wall street journal views,"Moffitt, Donald",973.9208 M695,33337,1977
52708115210,Introduction to literature,"Tiempo, Edilberto K.",801 T562,1254,1977
62408100838,In the beginning,"Fagan, Brian M.",930.1 F151,18714,1978
62408154410,Hot to get lost and found in Fiji,"McDermott, John W.",996.11 M134,30371,1978
62308145538,Earliest civilizations of the near east,"Mellaart, James",909 M524,18566,1978
62308145538,Earliest civilizations of the near east,"Mellaart, James",909 M524,18565,1978
62408100838,In the beginning,"Fagan, Brian M.",930.1 F151,18713,1978
62408091414,Inside the third reich,"Speer, Albert",926 S742,10496,1978
62308145538,Earliest civilizations of the near east,"Mellaart, James",909 M524,18550,1978
62408142948,Main problems in American history,"Quint, Howard H.",973 Q7 I,32955,1978
62408145443,Negotiating the mainstream,"Johnson, Harry A.",973.049 J67,18681,1978
62408091809,The providence of God is my inheritance legacy,"Sloane, Eric",927 S634,19069,1979
62408091809,The providence of God is my inheritance legacy,"Sloane, Eric",927 S634,19272,1979
62408075557,World geography,"Paul, Peg",910 P376,31366,1979
62408143241,Foundations in American history,"Schwach, Howard J.",973 S398,32601,1980
62408143241,Foundations in American history,"Schwach, Howard J.",973 S398,32600,1980
62408153744,The Roosevelts a family in turmoil,"Parks, Lillian Rogers",973.917 P252,18891,1981
62408153744,The Roosevelts a family in turmoil,"Parks, Lillian Rogers",973.917 P252,18892,1981
62408090253,Adventures and discoveries,"Coon, Carleton S.",923.9 C775,18939,1981
62408092254,Reunion of Republic day awardees,Civil Assembly of Women of the Philippines,929.81 C582,34488,1981
62408145850,Finding your place to live in America,"Bowman, Thomas F.",973.31 B787,33265,1981
62408153212,Faces of America,"Smith, Roland M.",973.31 S658,30250,1982
62408153212,Faces of America,"Smith, Roland M.",973.31 S658,302248,1982
62408134306,The American Pageant,"Bailey, Thomas A.",973 B156 7E,32498,1983
62408132049,The Tokyo transit book,"Bassin, Gary",952 B321,33283,1983
62408134306,The American Pageant,"Bailey, Thomas A.",973 B156 7E,32501,1983
62408151639,The greener pastures relocation guide,"Shattuck, Alfed",973.31 S535,33280,1984
62408111406,The Romans,"Christ, Karl",945.63 C554,19729,1984
62408104519,Meme Santerre,"Grafteaux, Serge",944.28 G736,32917,1985
62408112957,Life and lifestyles,China Handbook Editorial Committee,951 C539,32624,1985
62408101859,Japan''s war,"Hoyt, Edwin P.",940.3 H869,30360,1986
62408142626,The American people,"May, Ernest R.",973 M466,20858,1986
62408133720,Reading in Canadian history post-confederation,"Francis, R. Douglas",971 F819,31987,1986
62408081505,Ellen Terry,"Auerbach, Nina",920.00904 A917,30347,1987
62408140739,America''s wars and military excursions,"Hoyt, Edwin P.",973 H869,30370,1987
62408140619,America''s history to 1877,"Henretta, James A.",973 H518,30356,1987
62308145253,The western heritage 1300-1815,"Kagan, Donald",909 K11 B3E II,31745,1987
62308145253,The western heritage 1300-1815,"Kagan, Donald",909 K11 B3E II,31926,1987
62308145253,The western heritage 1300-1815,"Kagan, Donald",909 K11 B3E II,31948,1987
62408111833,Spet snaz,"Suvorov, Viktor",947.03 S967,30358,1987
62308145253,The western heritage 1300-1815,"Kagan, Donald",909 K11 B3E II,31752,1987
62408145646,Indians in American history,"Hoxie, Frederick E.",973.0497 H867,31817,1988
62308145011,Western civilization,"Hughes, William",909 H894 AEI,31837,1989
62408080802,Middle East patterns,"Held, Colbert C.",915.6 H474,32463,1989
62308141538,Latin America,"Goodwin, Paul B.",980 G6657,31838,1990
62308141538,Latin America,"Goodwin, Paul B.",980 G6657,32007,1990
62308135744,Nation of nations,"Davidson, James W.",973 D265,31881,1990
62308134440,Global studies the Middle East,"Spencer, William",956 S746,31729,1990
62308114358,Cultures and values,"Cunningham, Lawrence S.",909 C973 I II,31829,1990
62308114358,Cultures and values,"Cunningham, Lawrence S.",909 C973 I II,32011,1990
62308131655,A personal chronicle 1971-1987,"Salanga, Alfredo Navarro",920.008 S161,33176,1990
62308131655,A personal chronicle 1971-1987,"Salanga, Alfredo Navarro",920.008 S161,33175,1990
62308130314,The western heritage,"Kagan, Donald",909 K11 I4E,32013,1991
62308130837,Western civilization,"Spielvoge, Jackson J.",909 S755,31826,1991
62308130837,Western civilization,"Spielvoge, Jackson J.",909 S755,31825,1991
62308130445,Civilization in the west,"Kishlansky, Mark",909 K61 VC,31880,1991
62308130314,The western heritage,"Kagan, Donald",909 K11 I4E,31808,1991
62308135231,Firsthand America,"Bernhard, Virginia",973 B527 I,31864,1991
62308141656,Paraguay the personalist legacy,"Roett, Riordan",989.2 R719,32157,1991
62308130837,Western civilization,"Spielvoge, Jackson J.",909 S755,31830,1991
62308134924,Gabon,"Barnes, James F.",967.21 B261,32152,1992
62308133149,Between the revolution and the west,"Phillips, Hugh D.",923.2 P559,32137,1992
62308133149,Between the revolution and the west,"Phillips, Hugh D.",923.2 P559,32138,1992
62308133335,"""Let George do it"" a biography of Jorge B. Vargas","Saulo, Alfredo B.",923.2 S256,31791,1992
62308134127,Rebirth,"Black, Cyril E.",940.55 B627,32149,1992
62308130144,Global issues 93/94,"Jackson, Robert M.",909 J13,31994,1993
62308141350,The fifties,"Halberstam, David",973.92 H157,34315,1993
62308135037,A picture book of Niagara Falls,"Berton, Pierre",971 E547,32002,1993
62308133827,Good night officially,"McBride, William M.",940.53 M119,32472,1994
62308140155,Lincoln,"Donald, David Herbert",973.7 D695,1282,1995
62308134322,Korea,Korean Overseas Information Service,951.9 K84,665,1996
62308131233,Physical geography,"McKnight, Tom L.",910.02 M159,34707,1996
62308134548,The group of 77 and Indonesia,"Wibisono, Makarim",959.8 C882,1204,1999
62308133503,'tis,"McCourt, Frank",928.2 M131,34317,1999
62308131405,Physical geography,"McKnight, Tom L.",910.02 M159 6E,34708,2000
62308132011,King Bhumibok,Secretariat of the Prime Minister,923.1 S446,34292,2000
102722102933,EDSA 2: a nation in revolt,"Coronel, Shiela S.",959.9049 C822 01E,40740,2001
102722102827,Exciting Philippines: a visual journey,"Reyes, Elizabeth V.",919.1 R457 01E,40741,2001
62308131059,World geography,"Duka, Cecilio D.",910 D877,34940,2001
82312140041,Rizal,"Rubin, Ligaya T.",923.6 R896 01E,37773,2001
82312140041,Rizal,"Rubin, Ligaya T.",923.6 R896 01E,37772,2001
62308131059,World geography,"Duka, Cecilio D.",910 D877,34941,2001
62308134805,The fall of Joseph Estrada,"Doronila, Amando",959.9049 D715,1169,2001
70710085156,"Rizal's life, works and writings","Capino, Diosdado G.",923.6 C243 05E,36752,2005
82312135812,Rubrics for portfolio assessment in the Rizal Course,"Fadul, Jose A.",923.6 F146 05E,37759,2005
82312135812,Rubrics for portfolio assessment in the Rizal Course,"Fadul, Jose A.",923.6 F146 05E,37758,2005
93004031717,World cultures and geography,"Bednarz, Sarah W.",910 B399 05E,38721,2005
62308113254,Making the teaching and learning of history interesting for everyone,"Field, Richard J.",902.89 F455,34542,2006
92904051858,World geography,"Arreola, Daniel D",910 A774 07E,38720,2007
70912143739,Kasaysayan ng daigdig,"Quiason, Serafin D.",909 Q6 08E,37630,2008
92904053850,Introduction to geography,"Salter, Christopher L.",910 S177 09E,38722,2009
82312140150,A history of Asia,"Murphey, Rhoads",950 M978 09E,37721,2009
51118135802,World geography,"Duka, Cecilio D.",910 D877 10E,40186,2010
51118135802,World geography,"Duka, Cecilio D.",910 D877 10E,40187,2010
102010110137,Philippine history and government for college students,"Garcia, Carlito D.",959.9 G216 10E,36904,2010
102010110323,From Macapagal to Macapagal - Arroyo,"Suva, Carmen Delos Santos",920.93 S967 10E,36889,2010
102010110137,Philippine history and government for college students,"Garcia, Carlito D.",959.9 G216 10E,36903,2010
82312140243,History of Asian nations,"Zaide, Gregorio F.",950 Z21 10E,37925,2010
91319150100,Philippine history,"Halili, Maria Christine",959.9 H173 10E,38482,2010
102010110323,From Macapagal to Macapagal - Arroyo,"Suva, Carmen Delos Santos",920.93 S967 10E,36891,2010
102010110323,From Macapagal to Macapagal - Arroyo,"Suva, Carmen Delos Santos",920.93 S967 10E,36892,2010
81112095759,Rizal,"Duka, Cecilio D.",923.6 D877 10E,37760,2010
111210140749,Beat the odds,"Jurado, Gonzalo M.",959.9 J95,36919,2010
82312140243,History of Asian nations,"Zaide, Gregorio F.",950 Z21 10E,37924,2010
102010110323,From Macapagal to Macapagal - Arroyo,"Suva, Carmen Delos Santos",920.93 S967 10E,36890,2010
82312140458,Philippine history,"Agoncillo, Teodoro A.",959.9 A275 10E,37962,2010
82312140458,Philippine history,"Agoncillo, Teodoro A.",959.9 A275 10E,37963,2010
81112095759,Rizal,"Duka, Cecilio D.",923.6 D877 10E,37761,2010
102722113540,Enchanting Philippines,"Hicks, Nigel",919.1 H631 11E,40557,2011
101819085922,World history,"Diaz, Christine L.",909 D542 11E,41541,2011
82312140353,Kasaysayan ng mga bansang Asyano,"Zaide, Gregorio F.",950 Z21 11E,38010,2011
102722113540,Enchanting Philippines,"Hicks, Nigel",919.1 H631 11E,40558,2011
92419153734,Remembering my lolo Simon Ocampo Tecson,"Tecson, Luis Z.",959.99252 T255 11E,38368,2011
72216152548,World history : patterns of interaction,"Beck, Roger B.",909 B393 12E,39510,2012
112114100237,World history for the post-modern world,"Zaide, Gregorio F.",909 Z21 13E,38785,2013
92619134908,The Philippine presidents and other nation builders,"Nem Singh, Rosario P.",920.9 N436 13E,39111,2013
92619134908,The Philippine presidents and other nation builders,"Nem Singh, Rosario P.",920.9 N436 13E,39110,2013
112114100237,World history for the post-modern world,"Zaide, Gregorio F.",909 Z21 13E,38786,2013
102722102434,The Philippines: the most beautiful places,"Hicks, Nigel",919.1 H631 14E,40739,2014
112114140602,Rizal : the greatest Filipino hero,"Purino, Anacoreta P",F 923.6 P985 14E,38867,c2014
112114140602,Rizal : the greatest Filipino hero,"Purino, Anacoreta P",F 923.6 P985 14E,38866,c2014
