controlno,Title,Author,Callno,Accession,Copyright
31308144302,Functional English for college freshmen,"Yap, Miguel",428 Y25 FE,20142,[19 - ?]
31308144302,Functional English for college freshmen,"Yap, Miguel",428 Y25 FE,20143,[19 - ?]
31208150342,Basic skills in English,"Littell, Joseph L.",418.0071 L778,20846,[19 - ?]
31208150342,Basic skills in English,"Littell, Joseph L.",418.0071 L778,20847,[19 - ?]
31308095302,Readings in English 1,Anonymous,420 A615,7877,[19 - ?]
80208221214,Chinese made easy,"Sharma, Anita",495.1 S531,35783,[20_?]
93010110903,"Practical conversational chinese Mandarin for students, travelers and businessmen",Pei-Hsin Cheng,495.1 P377,36888,[20_?]
80208221214,Chinese made easy,"Sharma, Anita",495.1 S531,35784,[20_?]
71218133630,Goodwill's Italian made easy,"Varma, Rashmi",450 V316,40516,[20_?]
31308160406,The Berlitz self-teacher,"Darrie, Robert Strumpen",491.75 D225,20101,1951
31308145842,A first course in German,"Huebener, Theodore",430.045 H887,1083,1952
31308150149,Living language conversation manual,"Weiman, Ralph",460 W422,34477,1955
31308145208,Living language conversation manual,"Martin, Genevieve A.",430 M381,34478,1956
31308142438,Word studies,"Walters, R. G.",428 W235,31389,1957
31208080515,Background readings in language teaching,"Hemphill, Roderick J.",404.3 H491,20196,1962
31208150659,The right word,"Nathan, Norman",418.0071 N274,7820,1962
31208151929,English for business,"Parkhurst, Charles Chandler",418.0071 P246,31679,1965
31308110502,Writing handbook,"Kammer, Michael P.",425 K15,33381,1965
31308141517,Effective writing,"Moore, Robert Hamilton",428 M823,32171,1965
31308085348,The Thomases live here,"Goss, Jocelyn P.",418.4 G677,323,1965
31308091544,Critical reading and writing,"Scharbach, Alexander",418.4 S311,32964,1965
31308091544,Critical reading and writing,"Scharbach, Alexander",418.4 S311,7883,1965
31208083341,Advanced speech manual,"Perez, Lourdes del Rosario",410 P438,91,1965
31208083341,Advanced speech manual,"Perez, Lourdes del Rosario",410 P438,10,1965
31308080439,Trends in language teaching,"Valdman, Albert",418.0071 V146,18020,1966
31208103729,Effective English for college,"Catanjal, Augusto C.",418.0071 C357,30468,1966
31308080303,Business English and communication,"Stewart, Marie M.",418.0071 S851,31274,1967
31308082612,English made simple,"Waldhorn, Arthur",418.0071 W163,5764,1967
31308090729,A key to better reading,"Leedy, Paul D.",418.4 L484,19274,1968
31308090729,A key to better reading,"Leedy, Paul D.",418.4 L484,18749,1968
31308102336,Words of power,"Funk, Wilfred",420.1 F982,33377,1968
31308161350,A study of the behavior Hiligaynon verb roots with particular reference to the actor and goal focus affixes,"Ruiz, Macario B.",499.2121 R934,18040,1968
31208163731,Harbrace college reader,"Schorer, Mark",418.0071 S374,8132,1968
31208090810,English transformational grammar,"Jacobs, Roderick A.",415 J17,39396,1968
31208104635,Orientation in American English,"Costinett, Sandra",418.0071 C842,20938,1969
31208104635,Orientation in American English,"Costinett, Sandra",418.0071 C842,20939,1969
31208104635,Orientation in American English,"Costinett, Sandra",418.0071 C842,7873,1969
31208104635,Orientation in American English,"Costinett, Sandra",418.0071 C842,7874,1969
31308161533,The golden salakot,"Lardizabal, Jose",499.213 L321,10381,1969
31208163602,Orientation in American English tapebook I,"Sackett, Richard",418.0071 S121,30100,1969
31308150627,Invitacion al expañol uno,"Da Silva, Zenia Sacks",465 D229,20238,1969
31308090844,Maintaining reading efficiency,"Miller, Lyle L.",418.4 M648,7862,1970
31308103615,English arts and skills,"Albert, Brother H.",425 A333 G12,33351,1971
31308103615,English arts and skills,"Albert, Brother H.",425 A333 G12,31493,1971
31308152036,Español,"Schmitt, Conrad S.",465 S355 3E,20110,1972
31308155944,Español,"Woodford, Protase E.",465 W887,20036,1972
31208084102,3 star,"Hart, Mark",411 H326,7760,1972
31308141943,Questions you always wanted to ask about English,"Nurmberg, Maxwell",428 N974,19974,1972
31308092505,Corrective reading,"Zintz, Miles V.",418.4 Z78,8136,1972
31208091725,Rapid review of English grammar,"Praninskas, Jean",415 P899,20712,1972
31308102850,The most intelligible variety of English pronunciation for use in the Philippines,"Aquino, Milagros Romaquin",421.52 A657,5678,1972
31208084353,Phology,"Fudge, Erik C.",414 F952,5717,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,5953,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,34228,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,32873,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,32830,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,32360,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,34227,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,32272,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,225,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,19745,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,31600,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,31599,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,31598,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,32829,1973
31208103408,Modern English for college freshmen,"Bassig, Ricardo",418.0071 B321,32927,1973
31208103408,Modern English for college freshmen,"Bassig, Ricardo",418.0071 B321,32932,1973
31208103408,Modern English for college freshmen,"Bassig, Ricardo",418.0071 B321,794,1973
31208103408,Modern English for college freshmen,"Bassig, Ricardo",418.0071 B321,796,1973
31208103408,Modern English for college freshmen,"Bassig, Ricardo",418.0071 B321,797,1973
31308105910,College freshman English,"Fernando, Jovita N.",425 F363,19744,1973
31308075931,Effective English for college freshmen book II,"Serrano, Josephine B.",418.0071 S487,32874,1974
31308161141,Cortinas conversational Japanese with illustration,"Abraham, Richard D.",495.6 A159,33369,1974
31308160243,Es Facil Hablar,"Lamug, Rosario Valdes",468 L241 I II,20106,1975
31308160243,Es Facil Hablar,"Lamug, Rosario Valdes",468 L241 I II,5320,1975
31308140207,Thought and phrase,"Beek, Howard Vander",428 B414,20063,1975
31308105613,Idea and expression,"Evans, William H.",425 E92,20061,1975
31308105613,Idea and expression,"Evans, William H.",425 E92,20060,1975
31308140207,Thought and phrase,"Beek, Howard Vander",428 B414,20062,1975
31208150201,Write it right,"Liebow, Ely M.",418.0071 L717,20338,1976
31308102705,Writing with a purpose,"McCrimmon, James M.",421 M132 6E,10314,1976
31308102705,Writing with a purpose,"McCrimmon, James M.",421 M132 6E,10318,1976
31308102705,Writing with a purpose,"McCrimmon, James M.",421 M132 6E,10594,1976
31308102705,Writing with a purpose,"McCrimmon, James M.",421 M132 6E,18317,1976
31208110654,Fresheman writing III,Departmnt of English - Vincennes University,418.0071 D419,7830,1976
31308151554,Spanish one libro de ejecicios de español,"Perez, Concepcion",465 P438,18983,1976
31208150201,Write it right,"Liebow, Ely M.",418.0071 L717,7833,1976
31208150201,Write it right,"Liebow, Ely M.",418.0071 L717,20337,1976
31208112723,College English for today book I,"Fernando, Jovita N.",418.0071 F363,32321,1976
31308151554,Spanish one libro de ejecicios de español,"Perez, Concepcion",465 P438,5321,1976
31308151554,Spanish one libro de ejecicios de español,"Perez, Concepcion",465 P438,5325,1976
31308102705,Writing with a purpose,"McCrimmon, James M.",421 M132 6E,10310,1976
31208150201,Write it right,"Liebow, Ely M.",418.0071 L717,20336,1976
31208100321,Spoken English,"Rogers, Natividad C.",418 R728,20745,1977
31208145446,Secretary''s desk guide to business English,"Kerschner, Rachel Guinther",418.0071 K41,19541,1977
31208150815,Focus on English and American literature (integrated approach),"Nicolas, Flor R.",418.0071 N638,31544,1977
31308111815,Better English for college,"Serrano, Josephine B.",425 S487 BEC,5613,1977
31208100321,Spoken English,"Rogers, Natividad C.",418 R728,20744,1977
31208075851,Structuralism and semiotics,"Hawkes, Terence",401.41 H392,33800,1977
31208092723,Fundamentals of spoken English,"Gonzales, Leopoldo C.",418 G643 Fe,5726,1977
31208092723,Fundamentals of spoken English,"Gonzales, Leopoldo C.",418 G643 Fe,30030,1977
31208111848,A textbook in freshman English,"Eugenio, Damiana L.",418.0071 E87,32317,1978
31208145841,Paragraph sense,"Klammer, Enno",418.0071 K63,18577,1978
31308082227,Readings for freshman English,"Villanueva, Eva S.",418.0071 V718,31494,1979
31308081832,Competence in communication,"Villanueva, Perla M.",418.0071 V718 CC,149,1979
31308155743,Vamos a hablar expañol,"Villajuan, Normelita C.",465 V713 1 2,20703,1980
31308155743,Vamos a hablar expañol,"Villajuan, Normelita C.",465 V713 1 2,20699,1980
31208084808,Questions of intonation,"Brown, Gillian",414.8 B878,18913,1980
31208095818,Fundamentals of spoken English for Filipinos,"Gonzales, Leopoldo C.",418 G643 FF,12789,1980
31308102218,College writing and reading,"Tiempo, Edilberto K.",420 T562,1447,1980
31208084808,Questions of intonation,"Brown, Gillian",414.8 B878,18914,1980
31208095818,Fundamentals of spoken English for Filipinos,"Gonzales, Leopoldo C.",418 G643 FF,51003,1980
31308155743,Vamos a hablar expañol,"Villajuan, Normelita C.",465 V713 1 2,20700,1980
31208083221,Toward more effective speech communication,"Ortiz, Ma. Aurora Reyes",410 O77,3,1981
31208083221,Toward more effective speech communication,"Ortiz, Ma. Aurora Reyes",410 O77,4,1981
31208163306,English for business student,"Rotor, Nilda",418.0071 R848,33514,1982
31208163306,English for business student,"Rotor, Nilda",418.0071 R848,33513,1982
52008160538,Production standards for profit planning,"Tucker, Spencer",658.503 T894,30090,1982
31208092159,"Basic usage, vocabulary and composition","Willis, Hulon",415 W754,31773,1983
31208083049,Communication skills in English part II,"Olonan, Zenaida A.",410 O52,32842,1983
31308091108,Six-way paragraphes,"Pauk, Walter",418.4 P335 AL,31344-ML,1983
31208092159,"Basic usage, vocabulary and composition","Willis, Hulon",415 W754,31774,1983
31208083049,Communication skills in English part II,"Olonan, Zenaida A.",410 O52,32841,1983
31208083049,Communication skills in English part II,"Olonan, Zenaida A.",410 O52,32872,1983
31308091108,Six-way paragraphes,"Pauk, Walter",418.4 P335 AL,31307,1983
31308141333,Blazing traits,"Early, Margaret",428 E12,32574,1983
31308091108,Six-way paragraphes,"Pauk, Walter",418.4 P335 AL,31308,1983
31208092159,"Basic usage, vocabulary and composition","Willis, Hulon",415 W754,34764,1983
31208091904,A closer look an ESOL grammar worktext,"Walker, Michael",415 W182,31537,1984
31308142829,English writing and skills,"Winterowd, W. Ross",428 W788,31278,1985
31308142829,English writing and skills,"Winterowd, W. Ross",428 W788,31323,1985
31308092056,In charge,"Simmons, Jo An",418.4 S611,31728,1986
31308104621,Handbook of English grammar with graded exercises,"Amores, Corazon J.",425 A524,32655,1986
31308142250,Advanced composition,"Serrano, Josephine B.",428 S487,887,1986
31308104621,Handbook of English grammar with graded exercises,"Amores, Corazon J.",425 A524,32654,1986
31208151513,Techniques and principles in language teaching,"Larsen - Freeman, Diane",418.0071 L334,34425,1986
