controlno,Title,Author,Callno,Accession,Copyright
91707105200,"User''s manula for IBM, PC, XT, AT and compatible",Anonymous,004 A615,354,[19 - ?]
91707105200,"User''s manula for IBM, PC, XT, AT and compatible",Anonymous,004 A615,352,[19 - ?]
91907151222,Introduction to computer programming,Unknown,005.1 I61,713,[19 - ?]
91907151629,Introduction to computer programming,Unknown,005.1 I61,719,[19 - ?]
100107145322,Dinosaurs in the attic,"Preston, Douglas J.",069.9508 P937,31932,1928
100107160341,Copy reading and news editing,"Taylor, Howard B.",070.4 T242,8040,1951
100107144702,How to become a better reader,"Witty, Paul",028 W832 HB,31531,1962
100107145211,How to improve your reading,"Witty, Paul",028 W832 HI,31533,1963
100107160937,Mind and you,"Varias, Rodolfo R.",080 V299,20656,1968
91207153216,The law of success,"Hill, Napoleon",001.1 H647,31543,1968
91307083950,Introduction to the humanities,"Van de Bogart, Doris",001.3 V225,5688,1970
91307083950,Introduction to the humanities,"Van de Bogart, Doris",001.3 V225,5687,1970
91307083950,Introduction to the humanities,"Van de Bogart, Doris",001.3 V225,19853C1,1970
91307085212,Essentials of research and thesis writing,"Aquino, Gaudencio",001.4 A657,19861,1971
100107143956,Philippine school libraries,"Sanchez, Concordia",027.8 S211,5612,1971
91307085212,Essentials of research and thesis writing,"Aquino, Gaudencio",001.4 A657,19862,1971
100107143956,Philippine school libraries,"Sanchez, Concordia",027.8 S211,261,1971
91307090252,Foundation of home economics research,"Compton, Norma H.",001.4 C738,7814,1972
91307144128,Methods of research,"Good, Carter V.",001.4 G646,19009,1972
91307091004,Fundamentals of research,"Estolas, Josefina V.",001.4 E81,19464,1973
91307083707,Humanities series a man in search of meaning,Textbook Development Committee DLSU,001.3 T355,19050,1974
100107144341,Selective reading book number 4,"Smith, Barry M.",028 S643,777,1974
100107144341,Selective reading book number 4,"Smith, Barry M.",028 S643,778,1974
100107144341,Selective reading book number 4,"Smith, Barry M.",028 S643,779,1974
91307083707,Humanities series a man in search of meaning,Textbook Development Committee DLSU,001.3 T355,19051,1974
100107144341,Selective reading book number 4,"Smith, Barry M.",028 S643,780,1974
100107144341,Selective reading book number 4,"Smith, Barry M.",028 S643,781,1974
91307085031,Research and thesis writing,"Adeva, Jose Arias",001.4 A233,32853,1974
91307083707,Humanities series a man in search of meaning,Textbook Development Committee DLSU,001.3 T355,19073,1974
91307083707,Humanities series a man in search of meaning,Textbook Development Committee DLSU,001.3 T355,19072,1974
92107085345,Introduction to fortran,"Vinturella, John B.",005.13 V468,32584,1975
91207153735,The development of western thought,The Committee on the Humanities,001.3 C734,33333,1976
91207153735,The development of western thought,The Committee on the Humanities,001.3 C734,1417,1976
91207153735,The development of western thought,The Committee on the Humanities,001.3 C734,19366C1,1976
91207153735,The development of western thought,The Committee on the Humanities,001.3 C734,20017,1976
91207153735,The development of western thought,The Committee on the Humanities,001.3 C734,20018,1976
91707090325,Methods in behavioral research,"Cozby, Paul C.",001.42 C882,18781,1977
91707090325,Methods in behavioral research,"Cozby, Paul C.",001.42 C882,18782,1977
91307084254,The living tradition,"Vyverberg, Henry",001.3 V998,18548,1978
91207152631,The secret of success,"Allen, James",001.0 A427,30559,1980
91707081651,Methods and techniques of research,"Sanchez, Custodiosa, Ancheta",001.4 S211,19465,"1980, 1998"
91707081651,Methods and techniques of research,"Sanchez, Custodiosa, Ancheta",001.4 S211,818,"1980, 1998"
91807144716,Introduction to computer science,"Zwass, Vladimir",004 X97,31650,1981
91807144716,Introduction to computer science,"Zwass, Vladimir",004 X97,31651,1981
91707160804,Computer and data processing,"Capron, H. L.",004 C254 CD,31212,1982
92407092307,Assembler language for application programming,"Stabley, Don H.",005.3 S775,31861,1982
91807084845,The IBM / PC guide,"Kelley, James E. Jr.",004 K29,32292,1983
92207113313,Lotus 1-2-3 user''s manual,"Kapor, Mitchell",005.3 K17,32299,1983
91707081954,An introduction to research methods,"Sevilla, Consuelo G.",001.4 S511,32094,1984
91307090632,Guidebook on thesis writing,"De Jesus, Belen",001.4 D226,541,1984
92507083037,Microsoft basic programming the IBMPC,"Bent, Robert J.",005.365 B475,30146,1985
91807084538,Using dBase III,"Jones, Edward",004 J77 3,31664,1985
91907153553,The Peter Norton PC programmer''s bible,"Norton, Peter",005.1 N886,32412,1985
91907153051,Cobol logic and programming,"McCameron, Fritz A.",005.1 M122,31661,1985
91807084538,Using dBase III,"Jones, Edward",004 J77 3,33279,1985
92507083037,Microsoft basic programming the IBMPC,"Bent, Robert J.",005.365 B475,30148,1985
92507083037,Microsoft basic programming the IBMPC,"Bent, Robert J.",005.365 B475,30149,1985
92507083037,Microsoft basic programming the IBMPC,"Bent, Robert J.",005.365 B475,30150,1985
92507083037,Microsoft basic programming the IBMPC,"Bent, Robert J.",005.365 B475,30147,1985
92407163012,Lotus 1-2-3 from A to Z,"Williams, Andrew T.",005.3 W721,32297,1985
92107155153,Lotus 1-2-3 simplified for the IBM personal computer,"Cassel, Don",005.3 C344,32298,1986
92407161223,Ansi structured cobol,"Teglovic, Steve Jr.",005.3 T261,31763,1986
91907155938,Algorithms and data structure,"Wirth, Niklaus",005.1 W799,32413,1986
92407161223,Ansi structured cobol,"Teglovic, Steve Jr.",005.3 T261,31762,1986
92107155153,Lotus 1-2-3 simplified for the IBM personal computer,"Cassel, Don",005.3 C344,31621,1986
91707105451,Computer literacy,"Bitter, Gary G.",004 B624,32590,1986
91907111848,Pascal with applications in science and engineering,"Finger, Susan",005.1 F497,31885,1986
92107090459,Vax fortran,"Weinman, David G.",005.13 W424,32008,1986
91307164424,Communication research,"Rubin, Rebecca B.",001.4 R896,30066,1986
91307164424,Communication research,"Rubin, Rebecca B.",001.4 R896,30068,1986
91307164424,Communication research,"Rubin, Rebecca B.",001.4 R896,30070,1986
92107155153,Lotus 1-2-3 simplified for the IBM personal computer,"Cassel, Don",005.3 C344,31620,1986
92507083535,Using dBase III plus,"Jackson, Karen M.",005.43 J12,31756,1987
92507083535,Using dBase III plus,"Jackson, Karen M.",005.43 J12,31758,1987
92407091637,Organize,"Schwartz, Helen J.",005.3 S399,30083,1987
92507161206,Operating system,"Tanembaum, Andrew S.",005.43 T164,69,1987
92507083535,Using dBase III plus,"Jackson, Karen M.",005.43 J12,31757,1987
92407091637,Organize,"Schwartz, Helen J.",005.3 S399,30084,1987
